MIM Number	Ensembl Gene ID (Ensembl)
100640	ENSG00000165092
100650	ENSG00000111275
100660	ENSG00000108602
100670	ENSG00000137124
100678	ENSG00000120437
100690	ENSG00000138435
100710	ENSG00000170175
100720	ENSG00000135902
100725	ENSG00000108556
100730	ENSG00000196811
100740	ENSG00000087085
100790	ENSG00000139352
100850	ENSG00000100412
100880	ENSG00000122729
102480	ENSG00000100312
102525	ENSG00000134940
102540	ENSG00000159251
102545	ENSG00000163017
102560	ENSG00000184009
102565	ENSG00000128591
102573	ENSG00000077522
102574	ENSG00000248746
102575	ENSG00000072110
102576	ENSG00000115170
102577	ENSG00000163918
102578	ENSG00000140464
102579	ENSG00000035928
102581	ENSG00000121989
102582	ENSG00000168610
102593	ENSG00000136250
102595	ENSG00000170634
102600	ENSG00000198931
102610	ENSG00000143632
102620	ENSG00000107796
102630	ENSG00000075624
102642	ENSG00000057252
102645	ENSG00000164062
102670	ENSG00000099866
102680	ENSG00000087274
102681	ENSG00000075340
102720	ENSG00000197635
102750	ENSG00000156110
102770	ENSG00000116748
102771	ENSG00000116337
102772	ENSG00000133805
102775	ENSG00000163485
102776	ENSG00000128271
102910	ENSG00000110955
102980	ENSG00000141433
102981	ENSG00000078549
103000	ENSG00000106992
103020	ENSG00000004455
103030	ENSG00000162433
103060	ENSG00000035687
103070	ENSG00000155897
103071	ENSG00000078295
103072	ENSG00000164742
103180	ENSG00000143761
103188	ENSG00000004059
103190	ENSG00000134287
103195	ENSG00000147872
103220	ENSG00000151729
103260	ENSG00000137714
103270	ENSG00000161513
103275	ENSG00000148926
103280	ENSG00000130600
103320	ENSG00000188157
103390	ENSG00000124942
103600	ENSG00000163631
103700	ENSG00000187758
103710	ENSG00000197894
103720	ENSG00000196616
103730	ENSG00000248144
103735	ENSG00000172955
103740	ENSG00000198099
103830	ENSG00000117448
103850	ENSG00000149925
103870	ENSG00000109107
103880	ENSG00000085662
103950	ENSG00000175899
104145	ENSG00000079557
104150	ENSG00000081051
104155	ENSG00000140836
104160	ENSG00000089597
104170	ENSG00000198951
104175	ENSG00000204136
104180	ENSG00000214013
104210	ENSG00000150594
104219	ENSG00000171873
104220	ENSG00000170214
104221	ENSG00000120907
104225	ENSG00000163956
104230	ENSG00000196371
104240	ENSG00000110080
104250	ENSG00000184160
104260	ENSG00000274286
104311	ENSG00000080815
104610	ENSG00000002726
104613	ENSG00000146731
104614	ENSG00000138079
104615	ENSG00000139514
104620	ENSG00000243989
104640	ENSG00000109321
104650	ENSG00000243480
104660	ENSG00000240038
104700	ENSG00000237763
104701	ENSG00000174876
104702	ENSG00000187733
104750	ENSG00000173432
104751	ENSG00000134339
104752	ENSG00000148965
104760	ENSG00000142192
104770	ENSG00000132703
104775	ENSG00000105290
104776	ENSG00000084234
105590	ENSG00000171094
105850	ENSG00000214274
106150	ENSG00000135744
106165	ENSG00000144891
106180	ENSG00000159640
106195	ENSG00000114923
106410	ENSG00000145362
106490	ENSG00000138772
106491	ENSG00000196975
107265	ENSG00000177455
107266	ENSG00000012124
107269	ENSG00000026508
107270	ENSG00000004468
107271	ENSG00000085063
107272	ENSG00000137101
107273	ENSG00000110848
107280	ENSG00000196136
107285	ENSG00000124107
107300	ENSG00000117601
107310	ENSG00000090020
107323	ENSG00000164904
107325	ENSG00000117877
107400	ENSG00000197249
107410	ENSG00000258597
107450	ENSG00000142166
107470	ENSG00000027697
107580	ENSG00000137203
107670	ENSG00000158874
107680	ENSG00000118137
107690	ENSG00000110244
107710	ENSG00000130208
107720	ENSG00000110245
107730	ENSG00000084674
107740	ENSG00000189058
107741	ENSG00000130203
107748	ENSG00000100823
107760	ENSG00000175336
107770	ENSG00000123384
107773	ENSG00000185551
107776	ENSG00000240583
107777	ENSG00000167580
107820	ENSG00000113643
107830	ENSG00000081181
107910	ENSG00000137869
107930	ENSG00000132437
107940	ENSG00000137486
107941	ENSG00000141480
108330	ENSG00000140465
108345	ENSG00000171428
108355	ENSG00000177885
108360	ENSG00000141505
